# Basic actions
[Personal names]	Ašḫapalaš Eniadališ Ḫaḫuaš Iriyattiš Kaštandaš Lariyaš Našailiš Dušaš Walwiš Zipuliššaš Paškuwaš Tarluš Uruwandaš Maštiggaš Gulzawiyaš	Words with the "m" or "f" determiner are names of individual people. On this tablet, they always appear in the nominative case, so you don't have to worry about inflecting them.
kupta	kupta	He/she/it conspired, plotted, schemed
paprišzi	paprišzi	He/she/it is guilty (legal term)
parkuešzi	parkuešzi	He/she/it is innocent (legal term)
kuiški	kuiški kuēlka kuedanikki kuinki kuēzqa	Someone, anyone	NOUN kuiški kuēlka kuedanikki kuinki kuēzqa
kuwaššun	kuwaššun kuwašzi	Kiss (someone: accusative)	"I kissed" kuwaššun "He/she will kiss" kuwašzi
tarkun	tarkun tarkuzzi	Dance (toward someone: dative)	"I danced" tarkun "He/she will dance" tarkuzzi
kaninanun	kaninanun kanināit	Bow (to someone: dative)	"I bowed" kaninanun "He/she will bow" kanināit
GAL	GAL	Large, great; as a title, "chief" (of some particular unit)	LOGO
LU₂.<i>MEŠEDI</i>	MEŠEDI LU₂.MEŠEDI LU2.MEŠEDI LÚ.MEŠEDI	Royal bodyguard (<i>mešedi</i> is an Akkadian word of unclear meaning, probably referring to a particular spear the guards wielded)
GEŠTIN	GEŠTIN	Wine; as a title, "wine-steward" (the "chief wine-steward" was the chief of the palace staff)	LOGO
tuḫkanti	tuḫkanti tuḫkantiš tuḫkantiyaš tuḫkantiya tuḫkantin tuḫkantiyaz	Crown prince, heir to the throne	NOUN tuḫkantiš tuḫkantiyaš tuḫkantiya tuḫkantin tuḫkantiyaz
tawannana	tawannana tawannanaš tawannani tawannanan tawannanaz	Great Queen; in the Hittite Empire, this title was only relinquished on death, so the Great King's wife wouldn't inherit the title until his mother passed away. This was not generally used as a title for foreign or vassal queens.	NOUN tawannanaš tawannanaš tawannani tawannanan tawannanaz

# Colophon
zuppari	zuppari zuppariyaš zuppariya zuppariyaz	Torch	NOUN zuppari zuppariyaš zuppariya zuppari zuppariyaz
appa	appa	Back (adverb, as in "turned back")
arnunun	arnunun	I brought (something: accusative; somewhere: dative)
TIL	TIL	Finished, complete (used to mark the last tablet of a series; all the other tablets in the series are marked NU.TIL "not finished")	LOGO
NU.TIL	NU.TIL	Not finished (used to mark that a tablet is not the last one of a series)
ŠU	ŠU	Hand (body part); in tablet colophons, short for "by the hand of" (indicating the author)	LOGO
Dānīel	Dānīel	Daniel (not an actual Hittite name)
Ištelšar	Ištelšar	Stelzer (not an actual Hittite name)
Gaškel	Gaškel	Gaskell (not an actual Hittite name)
DUB.DU₃.DU₃	DUB.DU3.DU3 DUB.DÙ.DÙ	"Tablet crafter" (invented for this colophon, not actually a historically-attested logogram)	LOGO
<i>PANI</i>	PANI	In the presence of; under the supervision of
Tim	Tim	Tim (not an actual Hittite name)
Lēnard	Lēnard	Leonard (not an actual Hittite name)
UM.MI.A	UM.MI.A	Expert, teacher, artisan	LOGO
<i>IŠṬURU</i>	IŠṬURU IŠTURU IŠṬUR IŠTUR IŠṬURA IŠTURA	They inscribed (an Akkadian verb form). The Ṭ is an Akkadian sound that didn't exist in Hittite.	Singular <i>IŠṬUR</i> "Masculine or mixed plural" <i>IŠṬURU</i> "Feminine plural" <i>IŠṬURA</i>
